"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"15036-12362","C","DeMarcus","Cousins","47.83620689655172","58","11100","SAC@NY","SAC","NY","","","",""
"15036-40199","SF","Giannis","Antetokounmpo","34.37014925373135","67","10200","UTA@MIL","MIL","UTA","","","",""
"15036-15755","PF","Anthony","Davis","44.13770491803279","61","10100","LAC@NO","NO","LAC","O","Knee","",""
"15036-9623","PG","Chris","Paul","41.401587301587305","63","9900","LAC@NO","LAC","NO","","","",""
"15036-9508","SF","Carmelo","Anthony","38.02857142857143","63","8800","SAC@NY","NY","SAC","GTD","Head","",""
"15036-9561","C","DeAndre","Jordan","35.67727272727272","66","8400","LAC@NO","LAC","NO","","","",""
"15036-9455","PG","Rajon","Rondo","37.271875","64","8100","SAC@NY","SAC","NY","","","",""
"15036-16261","SG","Khris","Middleton","30.799999999999997","69","7700","UTA@MIL","MIL","UTA","","","",""
"15036-14559","PG","Isaiah","Thomas","35.027536231884056","69","7700","BOS@PHI","BOS","PHI","","","",""
"15036-9663","PG","Jrue","Holiday","29.603225806451615","62","7700","LAC@NO","NO","LAC","","","",""
"15036-12351","PF","Derrick","Favors","33.224999999999994","52","7400","UTA@MIL","UTA","MIL","","","",""
"15036-12366","SF","Gordon","Hayward","31.683582089552242","67","7000","UTA@MIL","UTA","MIL","","","",""
"15036-23825","PF","Nerlens","Noel","27.62833333333333","60","7000","BOS@PHI","PHI","BOS","","","",""
"15036-12511","PG","Ishmael","Smith","27.1703125","64","6500","BOS@PHI","PHI","BOS","","","",""
"15036-12337","C","Greg","Monroe","32.43432835820895","67","6400","UTA@MIL","MIL","UTA","","","",""
"15036-42550","PF","Jabari","Parker","23.044444444444444","63","6300","UTA@MIL","MIL","UTA","","","",""
"15036-9577","SF","Rudy","Gay","29.940677966101696","59","6300","SAC@NY","SAC","NY","","","",""
"15036-14533","PG","Shelvin","Mack","14.112820512820512","39","6200","UTA@MIL","UTA","MIL","","","",""
"15036-40203","C","Rudy","Gobert","29.151020408163266","49","6200","UTA@MIL","UTA","MIL","","","",""
"15036-9772","PF","Ryan","Anderson","26.434848484848487","66","6100","LAC@NO","NO","LAC","","","",""
"15036-16008","PF","Jared","Sullinger","26.36911764705882","68","6100","BOS@PHI","BOS","PHI","","","",""
"15036-20491","SF","Robert","Covington","23.157142857142855","56","6000","BOS@PHI","PHI","BOS","O","Concussion","",""
"15036-63122","PF","Kristaps","Porzingis","28.05373134328358","67","5800","SAC@NY","NY","SAC","","","",""
"15036-15800","SF","Jae","Crowder","26.675757575757576","66","5800","BOS@PHI","BOS","PHI","O","Ankle","",""
"15036-14527","PG","Norris","Cole","20.393333333333334","45","5700","LAC@NO","NO","LAC","GTD","Back","",""
"15036-9873","C","Robin","Lopez","22.164285714285715","70","5600","SAC@NY","NY","SAC","","","",""
"15036-12359","SF","Evan","Turner","22.892753623188405","69","5500","BOS@PHI","BOS","PHI","","","",""
"15036-9624","PG","Darren","Collison","22.53968253968254","63","5500","SAC@NY","SAC","NY","","","",""
"15036-15904","SG","Rodney","Hood","23.14090909090909","66","5500","UTA@MIL","UTA","MIL","","","",""
"15036-23831","PF","Jerami","Grant","20.793846153846154","65","5200","BOS@PHI","PHI","BOS","","","",""
"15036-12334","SG","Avery","Bradley","23.165625","64","5000","BOS@PHI","BOS","PHI","","","",""
"15036-9507","SG","Arron","Afflalo","21.27457627118644","59","4900","SAC@NY","NY","SAC","","","",""
"15036-9751","PG","Toney","Douglas","13.591489361702127","47","4800","LAC@NO","NO","LAC","","","",""
"15036-14510","SG","Alec","Burks","21.446428571428573","28","4800","UTA@MIL","UTA","MIL","O","Ankle","",""
"15036-9655","SG","J.J.","Redick","21.1484375","64","4800","LAC@NO","LAC","NO","","","",""
"15036-9648","SF","Jeff","Green","20.661194029850744","67","4700","LAC@NO","LAC","NO","GTD","Face","",""
