mins,fgm,fga,3pm,3pa,ftm,fta,dreb,oreb,reb,ast,stl,blk,to,pf,+/-,pts
28,5,10,1,3,5,10,1,2,3,2,0,1,5,1,-23,20
39,8,22,2,7,8,22,0,7,7,7,2,1,3,2,-5,33
37,12,20,6,9,12,20,1,6,7,11,4,0,2,5,-1,40
38,7,21,1,1,7,21,1,6,7,10,1,0,5,0,-4,18
36,10,25,2,5,10,25,2,2,4,8,2,0,2,3,-24,24
25,6,9,0,0,6,9,1,1,2,5,1,0,0,3,16,16
44,8,28,0,6,8,28,0,7,7,16,2,0,4,0,-2,16
30,6,11,0,0,6,11,0,2,2,11,0,0,3,5,7,13
32,7,17,0,2,7,17,1,4,5,9,0,0,1,3,8,20
31,6,18,1,2,6,18,1,2,3,6,0,1,6,0,-16,13
35,7,19,0,2,7,19,1,4,5,9,4,0,1,1,-4,16
26,3,12,0,0,3,12,0,1,1,4,2,1,3,3,-36,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,5,0,0,2,5,4,5,9,1,0,0,2,3,-12,6
35,5,9,0,0,5,9,7,4,11,0,1,0,1,1,3,11
30,4,10,0,0,4,10,4,7,11,1,0,0,1,3,-3,9
36,4,9,0,0,4,9,2,8,10,0,0,2,0,3,10,8
20,2,6,0,0,2,6,5,2,7,1,0,1,0,1,-6,4
23,3,6,0,0,3,6,4,2,6,1,0,2,0,4,-7,9
29,6,12,0,0,6,12,5,3,8,1,0,2,0,3,3,15
30,2,3,0,0,2,3,2,5,7,0,1,0,3,3,-5,5
36,4,10,0,0,4,10,4,7,11,1,2,2,1,2,15,9
27,7,18,0,4,7,18,2,7,9,1,1,0,3,4,-10,16
22,2,10,0,0,2,10,1,8,9,4,1,0,1,1,-26,9
34,7,12,0,2,7,12,1,4,5,3,3,0,2,5,-21,17
12,1,4,0,0,1,4,0,3,3,1,0,0,0,0,-6,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,7,0,0,3,7,1,6,7,1,1,0,3,4,-8,8
26,5,11,1,2,5,11,0,5,5,3,1,1,4,0,4,13
29,3,9,0,3,3,9,0,5,5,2,2,1,3,3,2,6
32,2,9,0,1,2,9,0,3,3,5,0,0,3,1,5,4
29,3,5,2,3,3,5,0,4,4,7,3,0,1,2,34,9
30,0,2,0,2,0,2,1,2,3,5,1,0,1,1,8,0
29,6,12,4,6,6,12,2,5,7,4,2,0,1,3,-11,16
32,4,8,0,2,4,8,0,3,3,5,0,0,1,1,-4,8
35,2,8,2,4,2,8,2,1,3,5,3,1,2,3,5,8
32,4,7,1,3,4,7,0,0,0,1,1,1,2,3,-1,9
23,2,5,0,1,2,5,1,5,6,4,0,0,0,2,-19,4
34,3,6,0,2,3,6,0,4,4,7,1,0,0,2,-13,6
21,3,5,0,0,3,5,0,0,0,6,1,0,1,2,1,6
15,1,1,0,0,1,1,0,2,2,2,8,0,1,1,3,2
16,2,4,1,3,2,4,2,2,4,4,0,0,1,0,0,5
10,0,2,0,1,0,2,1,0,1,1,1,0,3,1,-6,0
