Rudy Gobert: [28.60 mins, 3.04/5.99 fg, 0.02/0.02 3p, 1.37/4.76 ft, 2.36 dreb, 6.84 oreb, 10.00 reb, 1.64 ast, 0.47 stl, 1.12 blk, 1.92 TO, 2.65 PF, 1.49 +/-, 7.43 pts] FANDUEL: 23.17, C, 6200, 29.15
Giannis Antetokounmpo: [34.75 mins, 6.59/13.83 fg, 0.17/0.46 3p, 3.93/4.76 ft, 1.83 dreb, 5.69 oreb, 7.77 reb, 6.85 ast, 1.03 stl, 1.37 blk, 3.00 TO, 2.65 PF, -1.00 +/-, 18.11 pts] FANDUEL: 39.51, SF, 10200, 34.37
Kristaps Porzingis: [30.11 mins, 5.34/12.45 fg, 1.45/3.61 3p, 2.60/3.25 ft, 1.37 dreb, 4.57 oreb, 6.19 reb, 2.28 ast, 0.82 stl, 1.37 blk, 1.27 TO, 2.65 PF, -1.53 +/-, 14.91 pts] FANDUEL: 28.87, PF, 5800, 28.05
Jrue Holiday: [32.53 mins, 7.20/16.02 fg, 1.45/4.14 3p, 3.57/3.25 ft, 0.70 dreb, 3.19 oreb, 3.59 reb, 5.34 ast, 1.03 stl, 0.25 blk, 2.81 TO, 2.07 PF, -0.46 +/-, 20.44 pts] FANDUEL: 32.49, PG, 7700, 29.60
Jonas Jerebko: [19.48 mins, 2.86/6.04 fg, 0.78/1.77 3p, 1.15/1.98 ft, 0.96 dreb, 3.18 oreb, 4.21 reb, 1.32 ast, 0.47 stl, 0.25 blk, 0.81 TO, 2.24 PF, 1.61 +/-, 7.42 pts] FANDUEL: 15.09, PF, 3600, 10.16
Jeff Ayres: [2.34 mins, 0.35/0.46 fg, 0.02/0.02 3p, 0.01/0.21 ft, 0.27 dreb, 0.41 oreb, 0.57 reb, 0.12 ast, 0.10 stl, 0.04 blk, 0.13 TO, 0.16 PF, 0.49 +/-, 0.80 pts] FANDUEL: 1.82, PF, 3500, 3.13
Quincy Acy: [15.38 mins, 2.09/3.69 fg, 0.17/0.46 3p, 1.07/0.98 ft, 0.67 dreb, 2.17 oreb, 2.82 reb, 0.78 ast, 0.31 stl, 0.25 blk, 0.52 TO, 2.07 PF, -1.22 +/-, 5.18 pts] FANDUEL: 10.35, PF, 3500, 9.65
Jae Crowder: [27.05 mins, 5.00/10.82 fg, 1.83/4.93 3p, 2.46/2.51 ft, 1.05 dreb, 3.67 oreb, 4.69 reb, 1.91 ast, 1.81 stl, 0.56 blk, 0.94 TO, 2.24 PF, 2.47 +/-, 13.95 pts] FANDUEL: 26.23, SF, 5800, 26.68
Jared Cunningham: [2.98 mins, 0.32/0.62 fg, 0.17/0.46 3p, -0.00/0.21 ft, 0.24 dreb, 0.33 oreb, 0.44 reb, 0.11 ast, 0.10 stl, 0.04 blk, 0.13 TO, 0.16 PF, -0.22 +/-, 0.68 pts] FANDUEL: 1.53, SG, 3500, 4.43
Carmelo Anthony: [36.53 mins, 7.93/17.59 fg, 1.45/4.14 3p, 3.96/4.76 ft, 1.63 dreb, 5.87 oreb, 7.72 reb, 4.37 ast, 0.82 stl, 0.66 blk, 2.31 TO, 2.65 PF, -1.18 +/-, 22.48 pts] FANDUEL: 38.96, SF, 8800, 38.03
Rudy Gay: [33.18 mins, 5.63/12.37 fg, 0.00/6.00 3p, 2.80/3.25 ft, 1.20 dreb, 4.48 oreb, 5.79 reb, 2.17 ast, 1.81 stl, 0.72 blk, 1.92 TO, 2.65 PF, -0.32 +/-, 15.70 pts] FANDUEL: 29.04, SF, 6300, 29.94
Nik Stauskas: [25.45 mins, 4.19/9.29 fg, 1.17/4.14 3p, 1.85/1.98 ft, 0.80 dreb, 2.69 oreb, 3.40 reb, 2.02 ast, 0.69 stl, 0.29 blk, 1.27 TO, 2.07 PF, -4.29 +/-, 11.59 pts] FANDUEL: 19.38, SG, 4100, 14.03
Orlando Johnson: [7.89 mins, 1.01/2.44 fg, 0.17/0.46 3p, 0.36/0.42 ft, 0.44 dreb, 1.04 oreb, 1.39 reb, 0.33 ast, 0.10 stl, 0.25 blk, 0.13 TO, 0.89 PF, -2.72 +/-, 2.69 pts] FANDUEL: 5.44, SF, 3500, 7.86
Kendrick Perkins: [14.46 mins, 1.22/2.36 fg, 0.02/0.02 3p, 0.25/0.78 ft, 0.79 dreb, 2.32 oreb, 3.13 reb, 0.74 ast, 0.31 stl, 0.16 blk, 0.52 TO, 2.93 PF, -0.60 +/-, 2.42 pts] FANDUEL: 7.72, C, 3500, 6.89
Kendall Marshall: [6.89 mins, 0.90/1.81 fg, 0.17/0.46 3p, 0.32/0.42 ft, 0.28 dreb, 0.59 oreb, 0.65 reb, 0.82 ast, 0.10 stl, 0.11 blk, 0.26 TO, 2.08 PF, -0.33 +/-, 2.38 pts] FANDUEL: 4.56, PG, 3500, 9.03
J.J. Redick: [28.26 mins, 5.90/12.32 fg, 2.24/8.70 3p, 2.95/3.25 ft, 0.46 dreb, 2.17 oreb, 2.22 reb, 2.22 ast, 0.47 stl, 0.11 blk, 1.27 TO, 1.42 PF, 2.16 +/-, 16.54 pts] FANDUEL: 22.43, SG, 4800, 21.15
Khris Middleton: [34.21 mins, 6.59/14.01 fg, 1.83/4.93 3p, 3.18/4.25 ft, 0.90 dreb, 3.63 oreb, 4.31 reb, 4.14 ast, 1.81 stl, 0.25 blk, 2.31 TO, 2.69 PF, 0.77 +/-, 18.21 pts] FANDUEL: 31.39, SG, 7700, 30.80
Rajon Rondo: [35.89 mins, 4.75/10.69 fg, 0.78/2.75 3p, 1.87/1.08 ft, 1.21 dreb, 4.44 oreb, 5.74 reb, 8.94 ast, 1.81 stl, 0.16 blk, 2.87 TO, 2.65 PF, -1.40 +/-, 12.64 pts] FANDUEL: 33.99, PG, 8100, 37.27
Chris Johnson: [14.89 mins, 1.63/3.52 fg, 0.59/1.29 3p, 0.60/0.78 ft, 0.70 dreb, 1.83 oreb, 2.43 reb, 0.68 ast, 0.47 stl, 0.25 blk, 0.52 TO, 1.54 PF, 1.07 +/-, 3.88 pts] FANDUEL: 8.74, SG, 3500, 7.65
Miles Plumlee: [18.82 mins, 3.09/6.01 fg, 0.02/0.02 3p, 1.51/0.98 ft, 1.09 dreb, 3.40 oreb, 4.53 reb, 0.98 ast, 0.47 stl, 0.94 blk, 0.81 TO, 2.07 PF, -0.52 +/-, 8.22 pts] FANDUEL: 17.14, C, 3800, 10.84
Austin Rivers: [20.39 mins, 3.15/6.85 fg, 1.37/2.75 3p, 1.65/1.98 ft, 0.58 dreb, 2.04 oreb, 2.45 reb, 1.63 ast, 0.47 stl, 0.11 blk, 0.81 TO, 2.07 PF, -0.13 +/-, 8.63 pts] FANDUEL: 14.38, PG, 3500, 13.10
Jerami Grant: [27.99 mins, 3.87/8.66 fg, 0.24/1.29 3p, 2.42/3.31 ft, 1.15 dreb, 3.70 oreb, 5.01 reb, 1.90 ast, 0.47 stl, 1.37 blk, 1.27 TO, 2.24 PF, -3.49 +/-, 10.21 pts] FANDUEL: 21.49, PF, 5200, 20.79
Omri Casspi: [24.97 mins, 4.48/10.03 fg, 1.45/4.93 3p, 1.91/1.98 ft, 1.03 dreb, 3.63 oreb, 4.76 reb, 1.38 ast, 0.69 stl, 0.29 blk, 0.81 TO, 2.07 PF, -1.13 +/-, 12.42 pts] FANDUEL: 21.34, SF, 4500, 21.84
Tony Wroten: [20.76 mins, 3.41/7.88 fg, 0.59/4.50 3p, 1.94/3.31 ft, 0.71 dreb, 2.57 oreb, 3.20 reb, 2.75 ast, 0.47 stl, 0.16 blk, 2.87 TO, 2.08 PF, -4.73 +/-, 9.45 pts] FANDUEL: 15.81, PG, 3500, 12.40
Tyler Zeller: [15.82 mins, 3.08/6.27 fg, 0.02/0.02 3p, 1.63/1.98 ft, 0.91 dreb, 2.69 oreb, 3.60 reb, 0.79 ast, 0.54 stl, 0.67 blk, 0.81 TO, 2.07 PF, 0.87 +/-, 8.50 pts] FANDUEL: 15.62, C, 3500, 10.64
Hollis Thompson: [30.70 mins, 4.56/10.44 fg, 1.83/4.93 3p, 2.05/1.98 ft, 0.97 dreb, 3.57 oreb, 4.45 reb, 2.09 ast, 0.47 stl, 0.29 blk, 0.94 TO, 2.07 PF, -2.35 +/-, 12.51 pts] FANDUEL: 21.57, SF, 4200, 15.70
Duje Dukan: [1.90 mins, 0.22/0.40 fg, 0.00/0.02 3p, -0.01/0.21 ft, 0.27 dreb, 0.14 oreb, 0.28 reb, 0.05 ast, 0.10 stl, 0.04 blk, 0.13 TO, 0.16 PF, -0.33 +/-, 0.44 pts] FANDUEL: 1.01, PF, 3500, 0.00
Joe Ingles: [20.04 mins, 2.15/5.03 fg, 1.37/4.60 3p, 0.62/0.78 ft, 0.83 dreb, 2.38 oreb, 3.05 reb, 1.86 ast, 0.47 stl, 0.16 blk, 0.88 TO, 1.13 PF, 0.53 +/-, 5.18 pts] FANDUEL: 12.01, SF, 3800, 8.37
