James Anderson: [17.77 mins, 2.17/4.55 fg, 1.08/2.01 3p, 0.44/7.33 ft, 0.45 dreb, 1.84 oreb, 2.11 reb, 0.77 ast, 0.74 stl, 0.25 blk, 0.52 TO, 1.42 PF, -1.49 +/-, 5.29 pts] FANDUEL: 10.43, SG, 3600, 5.59
Paul Pierce: [20.74 mins, 2.80/6.04 fg, 1.17/3.61 3p, 1.14/1.98 ft, 0.61 dreb, 2.35 oreb, 2.89 reb, 1.47 ast, 0.47 stl, 0.11 blk, 0.81 TO, 2.07 PF, 0.81 +/-, 7.33 pts] FANDUEL: 13.35, SF, 3500, 11.35
Wesley Johnson: [20.70 mins, 2.81/6.57 fg, 1.17/3.61 3p, 1.11/0.80 ft, 0.86 dreb, 2.78 oreb, 3.65 reb, 0.96 ast, 1.03 stl, 0.94 blk, 0.81 TO, 2.24 PF, 1.53 +/-, 7.67 pts] FANDUEL: 16.62, SF, 3700, 14.37
Gordon Hayward: [36.22 mins, 6.93/15.01 fg, 1.83/4.93 3p, 3.47/4.76 ft, 0.95 dreb, 3.95 oreb, 4.71 reb, 3.73 ast, 1.03 stl, 0.29 blk, 2.22 TO, 2.24 PF, 1.88 +/-, 19.19 pts] FANDUEL: 30.87, SF, 7000, 31.68
Luke Babbitt: [13.75 mins, 1.75/3.73 fg, 1.33/2.01 3p, 0.66/0.42 ft, 0.56 dreb, 1.68 oreb, 2.06 reb, 0.81 ast, 0.74 stl, 0.16 blk, 0.81 TO, 0.84 PF, -0.30 +/-, 4.50 pts] FANDUEL: 9.18, SF, 3500, 7.99
Derrick Favors: [32.60 mins, 6.44/14.05 fg, 0.02/0.02 3p, 3.41/3.31 ft, 1.52 dreb, 5.41 oreb, 7.13 reb, 2.11 ast, 1.03 stl, 1.37 blk, 1.69 TO, 2.65 PF, 2.42 +/-, 17.84 pts] FANDUEL: 32.67, PF, 7400, 33.22
DeMarcus Cousins: [35.25 mins, 8.91/19.50 fg, 0.78/2.75 3p, 5.47/10.25 ft, 2.20 dreb, 7.31 oreb, 10.01 reb, 3.93 ast, 1.81 stl, 1.37 blk, 1.33 TO, 3.11 PF, -2.00 +/-, 25.72 pts] FANDUEL: 48.63, C, 11100, 47.84
Greg Monroe: [27.64 mins, 4.74/10.06 fg, 0.02/0.02 3p, 2.52/3.31 ft, 1.81 dreb, 5.80 oreb, 8.09 reb, 2.01 ast, 0.69 stl, 0.94 blk, 1.27 TO, 2.07 PF, -0.13 +/-, 13.13 pts] FANDUEL: 27.84, C, 6400, 32.43
Jamal Crawford: [26.30 mins, 4.76/10.59 fg, 1.45/4.14 3p, 2.30/2.51 ft, 0.56 dreb, 2.34 oreb, 2.64 reb, 2.64 ast, 0.69 stl, 0.11 blk, 1.27 TO, 1.42 PF, 0.87 +/-, 13.32 pts] FANDUEL: 20.78, SG, 4700, 19.07
C.J. Wilcox: [3.33 mins, 0.55/1.25 fg, 0.17/0.46 3p, 0.24/0.42 ft, 0.29 dreb, 0.23 oreb, 0.39 reb, 0.18 ast, 0.10 stl, 0.04 blk, 0.13 TO, 0.16 PF, 0.24 +/-, 1.33 pts] FANDUEL: 2.23, SG, 3500, 2.86
Caron Butler: [9.43 mins, 1.24/2.40 fg, 0.02/0.15 3p, 0.50/0.78 ft, 0.38 dreb, 1.20 oreb, 1.45 reb, 0.89 ast, 0.31 stl, 0.11 blk, 0.52 TO, 0.97 PF, -0.29 +/-, 2.93 pts] FANDUEL: 6.32, SF, 3500, 6.74
Cole Aldrich: [13.45 mins, 1.76/3.34 fg, 0.02/0.02 3p, 0.72/0.78 ft, 0.90 dreb, 2.71 oreb, 3.70 reb, 0.94 ast, 0.31 stl, 0.94 blk, 0.52 TO, 2.24 PF, -0.12 +/-, 4.52 pts] FANDUEL: 12.36, C, 3500, 13.65
Trevor Booker: [16.54 mins, 2.26/4.67 fg, 0.12/1.29 3p, 0.91/0.98 ft, 1.10 dreb, 3.33 oreb, 4.64 reb, 1.26 ast, 0.31 stl, 0.56 blk, 0.81 TO, 1.54 PF, 2.14 +/-, 6.03 pts] FANDUEL: 14.42, PF, 3600, 16.12
Nerlens Noel: [32.42 mins, 5.17/11.36 fg, 0.02/0.02 3p, 2.43/3.25 ft, 1.84 dreb, 5.59 oreb, 7.85 reb, 2.59 ast, 1.81 stl, 1.37 blk, 1.92 TO, 4.52 PF, -3.44 +/-, 13.99 pts] FANDUEL: 31.73, PF, 7000, 27.63
Willie Cauley-Stein: [23.32 mins, 2.84/5.79 fg, 0.02/0.02 3p, 1.23/0.98 ft, 1.16 dreb, 3.47 oreb, 4.79 reb, 1.00 ast, 0.47 stl, 0.72 blk, 0.81 TO, 2.07 PF, -2.42 +/-, 7.12 pts] FANDUEL: 15.95, PF, 3700, 15.58
Rodney Hood: [33.27 mins, 5.53/12.72 fg, 1.83/4.93 3p, 2.54/3.25 ft, 0.82 dreb, 3.12 oreb, 3.72 reb, 2.30 ast, 4.00 stl, 0.16 blk, 1.69 TO, 2.07 PF, 1.69 +/-, 15.04 pts] FANDUEL: 29.58, SG, 5500, 23.14
James Young: [7.55 mins, 0.66/1.45 fg, 1.00/1.29 3p, 0.07/0.78 ft, 0.37 dreb, 0.60 oreb, 0.85 reb, 0.37 ast, 0.31 stl, 0.11 blk, 0.52 TO, 0.97 PF, -0.43 +/-, 1.33 pts] FANDUEL: 3.23, SF, 3500, 3.18
Terry Rozier: [9.97 mins, 1.14/2.74 fg, 0.12/1.29 3p, 0.31/0.21 ft, 0.57 dreb, 1.31 oreb, 1.79 reb, 1.63 ast, 0.31 stl, 0.16 blk, 0.88 TO, 0.97 PF, -0.01 +/-, 2.81 pts] FANDUEL: 7.47, PG, 3500, 4.48
Kevin Seraphin: [10.81 mins, 1.51/3.42 fg, 0.02/0.02 3p, 0.49/0.78 ft, 0.63 dreb, 1.81 oreb, 2.39 reb, 0.90 ast, 0.31 stl, 1.20 blk, 0.52 TO, 3.00 PF, 0.18 +/-, 3.94 pts] FANDUEL: 10.67, PF, 3600, 9.07
Greivis Vasquez: [18.44 mins, 2.60/5.87 fg, 0.53/2.52 3p, 1.04/1.08 ft, 0.57 dreb, 1.87 oreb, 2.34 reb, 3.13 ast, 0.47 stl, 0.11 blk, 0.00 TO, 0.97 PF, -1.99 +/-, 6.88 pts] FANDUEL: 15.55, PG, 3600, 15.56
Trey Lyles: [16.01 mins, 2.72/6.05 fg, 1.37/2.52 3p, 1.15/1.74 ft, 0.68 dreb, 1.90 oreb, 2.50 reb, 0.83 ast, 0.31 stl, 0.11 blk, 0.81 TO, 2.07 PF, 0.34 +/-, 7.23 pts] FANDUEL: 11.51, PF, 3600, 10.34
Rashad Vaughn: [14.49 mins, 1.41/3.37 fg, 0.59/2.14 3p, 0.30/0.78 ft, 0.52 dreb, 1.39 oreb, 1.81 reb, 0.68 ast, 0.31 stl, 0.11 blk, 0.52 TO, 1.42 PF, -1.36 +/-, 3.37 pts] FANDUEL: 6.88, SG, 3500, 4.95
Jordan Mickey: [7.03 mins, 0.79/1.73 fg, 0.02/0.02 3p, 0.27/2.56 ft, 0.38 dreb, 0.66 oreb, 0.95 reb, 0.22 ast, 0.24 stl, 0.33 blk, 0.13 TO, 0.34 PF, 0.41 +/-, 1.84 pts] FANDUEL: 4.33, PF, 3500, 4.02
Amir Johnson: [22.67 mins, 2.65/5.79 fg, 0.17/0.46 3p, 0.86/1.08 ft, 1.33 dreb, 4.17 oreb, 5.84 reb, 1.76 ast, 0.47 stl, 0.67 blk, 0.88 TO, 2.07 PF, 0.80 +/-, 6.86 pts] FANDUEL: 17.92, PF, 3800, 19.06
Isaiah Canaan: [30.59 mins, 4.84/10.54 fg, 1.83/5.96 3p, 2.40/2.51 ft, 0.75 dreb, 2.73 oreb, 3.23 reb, 2.38 ast, 0.69 stl, 0.16 blk, 0.94 TO, 2.07 PF, -3.10 +/-, 13.03 pts] FANDUEL: 21.23, PG, 4100, 16.80
Ben McLemore: [12.79 mins, 1.94/4.44 fg, 0.78/2.52 3p, 1.01/1.74 ft, 0.51 dreb, 1.09 oreb, 1.49 reb, 0.71 ast, 2.00 stl, 0.11 blk, 0.26 TO, 0.89 PF, 0.35 +/-, 5.39 pts] FANDUEL: 12.20, SG, 3500, 12.08
T.J. McConnell: [18.76 mins, 2.69/6.10 fg, 0.12/1.29 3p, 1.14/0.80 ft, 0.67 dreb, 2.08 oreb, 2.71 reb, 3.36 ast, 1.03 stl, 0.11 blk, 1.27 TO, 0.97 PF, -2.57 +/-, 7.35 pts] FANDUEL: 16.66, PG, 3500, 17.70
Luc Richard Mbah a Moute: [20.07 mins, 1.86/3.87 fg, 0.17/0.46 3p, 0.52/0.42 ft, 0.57 dreb, 2.02 oreb, 2.44 reb, 0.80 ast, 0.69 stl, 0.11 blk, 0.52 TO, 2.07 PF, 0.93 +/-, 4.23 pts] FANDUEL: 9.44, SF, 3600, 7.51
