"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14759-40209","C","Joffrey","Lauvergne","15.824242424242426","33","3800","BOS@DEN","DEN","BOS","","","",""
"14759-23716","SF","Kyle","Anderson","9.954901960784314","51","3700","SA@PHO","SA","PHO","","","",""
"14759-12424","C","Timofey","Mozgov","13.434000000000001","50","3700","CLE@OKC","CLE","OKC","","","",""
"14759-12423","C","Omer","Asik","12.344680851063831","47","3700","NO@DET","NO","DET","","","",""
"14759-14515","SG","Iman","Shumpert","14.109677419354838","31","3600","CLE@OKC","CLE","OKC","GTD","Shoulder","",""
"14759-9920","PF","Anthony","Tolliver","11.775925925925925","54","3600","NO@DET","DET","NO","","","",""
"14759-9466","PG","D.J.","Augustin","8.931428571428572","35","3600","BOS@DEN","DEN","BOS","","","",""
"14759-15542","PG","Spencer","Dinwiddie","7.699999999999999","9","3500","NO@DET","DET","NO","O","Ankle","",""
"14759-9491","PF","J.J.","Hickson","14.669999999999998","20","3500","BOS@DEN","DEN","BOS","","","",""
"14759-15548","SG","Andre","Roberson","12.573333333333332","45","3500","CLE@OKC","OKC","CLE","O","Knee","",""
"14759-15520","SG","Sean","Kilpatrick","4.8375","8","3500","BOS@DEN","DEN","BOS","","","",""
"14759-9785","SF","James","Jones","5.682857142857143","35","3500","CLE@OKC","CLE","OKC","","","",""
"14759-9484","PG","Mo","Williams","14.897058823529411","34","3500","CLE@OKC","CLE","OKC","","","",""
"14759-48567","PG","Cameron","Payne","11.494736842105263","38","3500","CLE@OKC","OKC","CLE","","","",""
"14759-9529","SG","Anthony","Morrow","7.963265306122449","49","3500","CLE@OKC","OKC","CLE","","","",""
"14759-9734","SF","Mike","Miller","4.2631578947368425","38","3500","BOS@DEN","DEN","BOS","","","",""
"14759-41063","PF","Jordan","Mickey","5.025","4","3500","BOS@DEN","BOS","DEN","","","",""
"14759-9733","SG","Randy","Foye","11.907407407407407","54","3500","CLE@OKC","OKC","CLE","","","",""
"14759-9751","PG","Toney","Douglas","11.72121212121212","33","3500","NO@DET","NO","DET","","","",""
"14759-63826","C","Boban","Marjanovic","11.102777777777778","36","3500","SA@PHO","SA","PHO","","","",""
"14759-14532","SF","Kyle","Singler","6.5590909090909095","44","3500","CLE@OKC","OKC","CLE","","","",""
"14759-18352","PG","Ray","McCallum","5.933333333333333","27","3500","SA@PHO","SA","PHO","","","",""
"14759-9559","SF","Rasual","Butler","6.61578947368421","38","3500","SA@PHO","SA","PHO","","","",""
"14759-17544","SF","Orlando","Johnson","17.9","2","3500","SA@PHO","PHO","SA","","","",""
"14759-12349","SF","Luke","Babbitt","7.291666666666667","24","3500","NO@DET","NO","DET","","","",""
"14759-16348","SG","Darrun","Hilliard","5.6521739130434785","23","3500","NO@DET","DET","NO","","","",""
"14759-9804","C","Alexis","Ajinca","11.135714285714286","42","3500","NO@DET","NO","DET","","","",""
"14759-9580","PF","Darrell","Arthur","15.668085106382978","47","3500","BOS@DEN","DEN","BOS","","","",""
"14759-16100","PG","Bryce","Cotton","3.1666666666666665","3","3500","SA@PHO","PHO","SA","","","",""
"14759-16629","SG","Bryce","Jones","12.924999999999999","12","3500","NO@DET","NO","DET","GTD","Wrist","",""
"14759-42671","SF","James","Young","3.423809523809524","21","3500","BOS@DEN","BOS","DEN","","","",""
"14759-9895","SF","Steve","Novak","2.9714285714285715","7","3500","BOS@DEN","DEN","BOS","","","",""
"14759-11104","SF","Alonzo","Gee","10.63888888888889","54","3500","NO@DET","NO","DET","","","",""
"14759-23799","PF","Mitch","McGary","2.7333333333333334","15","3500","CLE@OKC","OKC","CLE","","","",""
"14759-18821","SG","Jonathon","Simmons","9.685365853658537","41","3500","SA@PHO","SA","PHO","","","",""
"14759-42677","PG","Terry","Rozier","3.2789473684210524","19","3500","BOS@DEN","BOS","DEN","","","",""
"14759-9649","PF","Nick","Collison","7.155555555555556","45","3500","CLE@OKC","OKC","CLE","","","",""
"14759-16191","SF","Josh","Huestis","0","0","3500","CLE@OKC","OKC","CLE","","","",""
"14759-16925","PF","Jarnell","Stokes","2.185714285714286","7","3500","NO@DET","NO","DET","","","",""
"14759-9952","C","DeJuan","Blair","5.203448275862068","29","3500","SA@PHO","PHO","SA","","","",""
"14759-9955","SG","Marcus","Thornton","15.808510638297872","47","3500","NO@DET","DET","NO","GTD","Coach's decision","",""
"14759-15961","C","Tyler","Zeller","9.276315789473685","38","3500","BOS@DEN","BOS","DEN","","","",""
"14759-15964","PG","Lorenzo","Brown","5.4875","8","3500","SA@PHO","PHO","SA","","","",""
"14759-9683","PG","Steve","Blake","10.264516129032257","31","3500","NO@DET","DET","NO","","","",""
"14759-9962","PF","Jonas","Jerebko","9.156363636363636","55","3500","BOS@DEN","BOS","DEN","","","",""
"14759-23248","SG","RJ","Hunter","5.707999999999999","25","3500","BOS@DEN","BOS","DEN","","","",""
"14759-15475","PF","Cory","Jefferson","5.4","8","3500","SA@PHO","PHO","SA","","","",""
"14759-15947","SF","Reggie","Bullock","1.0578947368421054","19","3500","NO@DET","DET","NO","","","",""
"14759-9678","PF","Channing","Frye","11.765909090909092","44","3500","CLE@OKC","CLE","OKC","O","Coach's decision","",""
"14759-9928","SF","Sonny","Weems","5.525","32","3500","SA@PHO","PHO","SA","","","",""
"14759-9723","PG","Ronnie","Price","9.737142857142857","35","3500","SA@PHO","PHO","SA","","","",""
"14759-16230","SG","Jordan","McRae","8.8","7","3500","SA@PHO","PHO","SA","","","",""
"14759-66520","C","Sasha","Kaun","2.4727272727272727","11","3500","CLE@OKC","CLE","OKC","","","",""
"14759-9463","C","Kendrick","Perkins","5.33","10","3500","NO@DET","NO","DET","","","",""
"14759-9940","PF","Dante","Cunningham","10.178846153846154","52","3500","NO@DET","NO","DET","","","",""
"14759-9709","C","Matt","Bonner","4.2299999999999995","20","3500","SA@PHO","SA","PHO","O","Calf","",""
"14759-9471","PF","Boris","Diaw","14.232727272727272","55","3500","SA@PHO","SA","PHO","","","",""
"14759-9706","SF","Richard","Jefferson","9.43061224489796","49","3500","CLE@OKC","CLE","OKC","","","",""
