"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14852-9524","PG","Stephen","Curry","48.253571428571426","56","11000","OKC@GS","GS","OKC","GTD","Ankle","",""
"14852-9642","PG","Russell","Westbrook","49.51311475409836","61","11000","OKC@GS","OKC","GS","","","",""
"14852-12362","C","DeMarcus","Cousins","47.31399999999999","50","10900","SAC@DAL","SAC","DAL","","","",""
"14852-9646","SF","Kevin","Durant","45.89259259259259","54","10600","OKC@GS","OKC","GS","","","",""
"14852-15755","PF","Anthony","Davis","43.93846153846154","52","10200","SA@NO","NO","SA","","","",""
"14852-9455","PG","Rajon","Rondo","37.94285714285714","56","9000","SAC@DAL","SAC","DAL","GTD","Finger","",""
"14852-12363","C","Hassan","Whiteside","34.4921568627451","51","8600","PHO@MIA","MIA","PHO","","","",""
"14852-15860","PF","Draymond","Green","38.87586206896552","58","8600","OKC@GS","GS","OKC","","","",""
"14852-14513","SF","Kawhi","Leonard","36.338181818181816","55","8000","SA@NO","SA","NO","","","",""
"14852-9663","PG","Jrue","Holiday","28.660377358490567","53","7700","SA@NO","NO","SA","","","",""
"14852-9585","SG","Dwyane","Wade","31.44181818181818","55","7500","PHO@MIA","MIA","PHO","","","",""
"14852-14509","SG","Klay","Thompson","30.554385964912278","57","7300","OKC@GS","GS","OKC","","","",""
"14852-9688","PF","LaMarcus","Aldridge","30.823214285714283","56","7300","SA@NO","SA","NO","","","",""
"14852-9577","SF","Rudy","Gay","30.764","50","7000","SAC@DAL","SAC","DAL","GTD","Shoulder","",""
"14852-9718","PF","Chris","Bosh","32.679245283018865","53","7000","PHO@MIA","MIA","PHO","O","Calf","",""
"14852-9500","PF","Dirk","Nowitzki","29.703636363636363","55","6700","SAC@DAL","DAL","SAC","","","",""
"14852-14537","SF","Chandler","Parsons","22.89056603773585","53","6700","SAC@DAL","DAL","SAC","","","",""
"14852-14506","PG","Brandon","Knight","31.592857142857145","42","6500","PHO@MIA","PHO","MIA","O","Groin","",""
"14852-9673","PG","Goran","Dragic","25.562745098039215","51","6500","PHO@MIA","MIA","PHO","","","",""
"14852-9479","SF","Luol","Deng","22.013207547169813","53","6000","PHO@MIA","MIA","PHO","","","",""
"14852-9957","PF","Serge","Ibaka","26.004918032786886","61","5900","OKC@GS","OKC","GS","","","",""
"14852-9772","PF","Ryan","Anderson","26.296491228070177","57","5800","SA@NO","NO","SA","","","",""
