"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14862-9488","SF","LeBron","James","44.291228070175436","57","9800","WAS@CLE","CLE","WAS","","","",""
"14862-12332","PG","John","Wall","42.041666666666664","60","9800","WAS@CLE","WAS","CLE","","","",""
"14862-20848","PG","Damian","Lillard","40.31454545454546","55","9100","POR@TOR","POR","TOR","","","",""
"14862-9535","PG","Kyle","Lowry","39.5948275862069","58","9100","POR@TOR","TOR","POR","","","",""
"14862-9508","SF","Carmelo","Anthony","37.734545454545454","55","8900","NY@BOS","NY","BOS","","","",""
"14862-58462","C","Karl-Anthony","Towns","34.942622950819676","61","8900","MIN@MIL","MIN","MIL","","","",""
"14862-12363","C","Hassan","Whiteside","34.457692307692305","52","8600","MIA@PHI","MIA","PHI","","","",""
"14862-14507","PG","Kemba","Walker","36.11355932203389","59","8500","IND@CHA","CHA","IND","","","",""
"14862-12341","SF","Paul","George","38.673770491803275","61","8500","IND@CHA","IND","CHA","","","",""
"14862-9621","C","Brook","Lopez","36.044262295081964","61","8500","BKN@DEN","BKN","DEN","","","",""
"14862-40199","SF","Giannis","Antetokounmpo","32.159322033898306","59","8300","MIN@MIL","MIL","MIN","","","",""
"14862-14514","C","Nikola","Vucevic","34.60526315789474","57","8000","PHO@ORL","ORL","PHO","","","",""
"14862-16261","SG","Khris","Middleton","30.278688524590162","61","7900","MIN@MIL","MIL","MIN","","","",""
"14862-9729","PF","Paul","Millsap","36.934999999999995","60","7900","ATL@LAL","ATL","LAL","","","",""
"14862-9453","C","Al","Horford","32.268852459016394","61","7800","ATL@LAL","ATL","LAL","","","",""
"14862-14559","PG","Isaiah","Thomas","34.854838709677416","62","7800","NY@BOS","BOS","NY","","","",""
"14862-9714","SG","DeMar","DeRozan","34.93050847457627","59","7700","POR@TOR","TOR","POR","","","",""
"14862-12351","PF","Derrick","Favors","33.0046511627907","43","7500","UTA@MEM","UTA","MEM","","","",""
"14862-9585","SG","Dwyane","Wade","31.599999999999998","56","7500","MIA@PHI","MIA","PHI","","","",""
"14862-12366","SF","Gordon","Hayward","32.00666666666667","60","7400","UTA@MEM","UTA","MEM","","","",""
"14862-12337","C","Greg","Monroe","33.04915254237288","59","7200","MIN@MIL","MIL","MIN","","","",""
"14862-9666","PF","Thaddeus","Young","30.8","61","7100","BKN@DEN","BKN","DEN","","","",""
"14862-9874","PF","Kevin","Love","32.70862068965517","58","7000","WAS@CLE","CLE","WAS","O","Rest","",""
"14862-14498","PG","Kyrie","Irving","29.206060606060603","33","7000","WAS@CLE","CLE","WAS","","","",""
"14862-9575","PG","Mike","Conley","29.57777777777778","54","7000","UTA@MEM","MEM","UTA","","","",""
"14862-9661","C","Marcin","Gortat","30.47037037037037","54","7000","WAS@CLE","WAS","CLE","","","",""
"14862-9718","PF","Chris","Bosh","32.679245283018865","53","7000","MIA@PHI","MIA","PHI","O","Calf","",""
"14862-19067","SG","C.J.","McCollum","31.78666666666667","60","6800","POR@TOR","POR","TOR","","","",""
"14862-14496","PG","Ricky","Rubio","30.229090909090907","55","6700","MIN@MIL","MIN","MIL","","","",""
"14862-9637","SF","Danilo","Gallinari","30.579245283018867","53","6700","BKN@DEN","DEN","BKN","O","Ankle","",""
"14862-40203","C","Rudy","Gobert","29.8025","40","6700","UTA@MEM","UTA","MEM","","","",""
"14862-15684","SG","Victor","Oladipo","28.241071428571427","56","6600","PHO@ORL","ORL","PHO","","","",""
"14862-9579","PF","Zach","Randolph","26.756363636363634","55","6600","UTA@MEM","MEM","UTA","","","",""
